DevType,JobSatisfaction
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely satisfied
Back-end developer,Extremely satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Slightly satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Neither satisfied nor dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Extremely satisfied
Back-end developer,Moderately satisfied
Back-end developer,Extremely dissatisfied
Back-end developer,Slightly satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Slightly dissatisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately satisfied
Back-end developer,Slightly satisfied
Back-end developer,Moderately satisfied
Back-end developer,Moderately dissatisfied
Back-end developer,Moderately satisfied
